,id,game_id,value,external_popularity_source
0,85,111,0.000226836668147,IGDB
1,3571850,111,0.000269406770767,Steam
2,2474580,111,1.1178063572e-05,Steam
3,3572106,111,0.00024556077339,Steam
4,619900,111,9.6549014647e-05,Steam
5,938701,111,0.000176017019852,Steam
6,4579823,111,1.3098737032e-05,Twitch
7,90659,111,0.000447913195994,IGDB
8,3874317,111,1.8537330476e-05,IGDB
9,3493665,111,0.000313768342179,IGDB
10,167,232,8.5063750555e-05,IGDB
11,2474883,232,1.3786278405e-05,Steam
12,3572607,232,0.000184026589909,Steam
13,3572349,232,0.000203470678784,Steam
14,613319,232,6.2522010566e-05,Steam
15,936875,232,0.00012465476612,Steam
16,90777,232,0.00035911636942,IGDB
17,4583844,232,3.35865052e-07,Twitch
18,3874402,232,1.1122398286e-05,IGDB
19,3493779,232,0.000209178894786,IGDB
20,377,527,5.6709167037e-05,IGDB
21,2474920,527,1.9561611251e-05,Steam
22,3572663,527,0.000199534327269,Steam
23,3572404,527,0.000204539686988,Steam
24,618043,527,0.000168256228768,Steam
25,931882,527,5.6755837946e-05,Steam
26,4580934,527,6.71730104e-07,Twitch
27,91067,527,0.000173664590026,IGDB
28,4045026,527,1.1122398286e-05,IGDB
29,3494056,527,9.5223228224e-05,IGDB
30,419,576,0.000132321389753,IGDB
31,3572870,576,0.000141334576902,Steam
32,2474816,576,0.000101720378504,Steam
33,3573141,576,0.000151304832109,Steam
34,91119,576,6.6008260462e-05,IGDB
35,613475,576,0.000213608171324,Steam
36,933822,576,0.000215004146352,Steam
37,4579001,576,1.4058351467e-05,Twitch
38,3874675,576,3.3367194857e-05,IGDB
39,3494108,576,2.1854511396e-05,IGDB
40,505,787,6.6160694876e-05,IGDB
41,3573461,787,9.1203350455e-05,Steam
42,2475318,787,1.1364364631e-05,Steam
43,3573242,787,9.4841071636e-05,Steam
44,614065,787,6.8471517414e-05,Steam
45,937869,787,9.7111894449e-05,Steam
46,91319,787,0.000172092964777,IGDB
47,4582994,787,1.199518043e-06,Twitch
48,3494264,787,7.8051826413e-05,IGDB
49,3874781,787,1.1122398286e-05,IGDB
50,551,885,0.000415867224937,IGDB
51,3572649,885,0.00025553928963,Steam
52,91405,885,0.000539853273067,IGDB
53,2474738,885,1.3413676286e-05,Steam
54,3572390,885,0.000280372456489,Steam
55,614724,885,0.000100358786576,Steam
56,936508,885,0.000222752290172,Steam
57,4579794,885,9.212298572e-06,Twitch
58,3494344,885,0.00017015298158,IGDB
59,3874824,885,0.000152006109904,IGDB
60,810,1281,2.8354583518e-05,IGDB
61,2475160,1281,1.5462987941e-05,Steam
62,3572563,1281,0.000188897090372,Steam
63,3572828,1281,0.000192450012709,Steam
64,613833,1281,0.000214651944455,Steam
65,4580336,1281,5.805667329e-06,Twitch
66,91782,1281,0.000100584015943,IGDB
67,3875116,1281,7.41493219e-06,IGDB
68,3494715,1281,1.8732438339e-05,IGDB
69,838,1331,0.000387512641418,IGDB
70,3571939,1331,0.000442995329587,Steam
71,91838,1331,0.00129659083051,IGDB
72,2458756,1331,1.5276686882e-05,Steam
73,3572194,1331,0.000412416539899,Steam
74,613039,1331,0.000221332092496,Steam
75,938441,1331,7.8713475202e-05,Steam
76,4580032,1331,2.351055365e-06,Twitch
77,3494766,1331,0.000324695597877,IGDB
78,3875148,1331,7.0441855809e-05,IGDB
79,840,1334,0.000236288195987,IGDB
80,3572951,1334,0.000323383333464,Steam
81,3573223,1334,0.000295143775804,Steam
82,2475180,1334,1.676709536e-06,Steam
83,615318,1334,0.000118677005031,Steam
84,4594306,1334,9.5961443e-08,Twitch
85,91842,1334,0.000617648722897,IGDB
86,3875151,1334,4.0782127047e-05,IGDB
87,3494770,1334,0.000338744926631,IGDB
88,841,1335,1.8903055679e-05,IGDB
89,3573217,1335,9.4594318095e-05,Steam
90,2474817,1335,1.7698600655e-05,Steam
91,3572944,1335,9.3596679273e-05,Steam
92,615212,1335,0.000100828484485,Steam
93,4580072,1335,3.358650521e-06,Twitch
94,91843,1335,4.7148757473e-05,IGDB
95,3494767,1335,2.8098657509e-05,IGDB
96,843,1337,0.00018903055679,IGDB
97,2474655,1337,4.9928683954e-05,Steam
98,91845,1337,0.000294679734207,IGDB
99,3571947,1337,0.000343510753563,Steam
100,3572202,1337,0.000319233325111,Steam
101,614217,1337,0.000167525587576,Steam
102,935983,1337,0.000107187219275,Steam
103,4581575,1337,2.351055365e-06,Twitch
104,4118919,1337,1.1122398286e-05,IGDB
105,3494772,1337,0.000103028410865,IGDB
106,91847,1338,0.000190952467766,IGDB
107,844,1338,0.000141772917592,IGDB
108,3571958,1338,0.000520740317207,Steam
109,3571705,1338,0.000538170466287,Steam
110,2474507,1338,0.000145501127494,Steam
111,612537,1338,0.000411820688961,Steam
112,932368,1338,0.000219877537165,Steam
113,4580850,1338,7.67691548e-07,Twitch
114,3875154,1338,3.3367194857e-05,IGDB
115,3494773,1338,0.000110833593506,IGDB
116,845,1339,0.000302448890863,IGDB
117,91844,1339,0.000365402870416,IGDB
118,3573722,1339,0.000129051157002,Steam
119,2475377,1339,1.0432859334e-05,Steam
120,3573482,1339,0.000142311717214,Steam
121,614135,1339,4.6186961061e-05,Steam
122,940287,1339,6.4312331565e-05,Steam
123,4580515,1339,9.740086511e-06,Twitch
124,3494775,1339,0.000274742428973,IGDB
125,3875155,1339,2.2244796571e-05,IGDB
126,861,1365,4.7257639197e-05,IGDB
127,91873,1365,3.0646692358e-05,IGDB
128,3572659,1365,7.5031013348e-05,Steam
129,2474984,1365,5.589031786e-06,Steam
130,3572925,1365,7.6883531694e-05,Steam
131,614575,1365,8.8459772879e-05,Steam
132,4765741,1365,3.707466095e-06,IGDB
133,870,1381,1.8903055679e-05,IGDB
134,91884,1381,0.00015716252491,IGDB
135,3571896,1381,0.000313770611251,Steam
136,3572151,1381,0.000289585756657,Steam
137,2474603,1381,7.079440262e-06,Steam
138,612930,1381,0.000138456505869,Steam
139,3963168,1381,3.5592180091e-05,Steam
140,4579756,1381,4.7980722e-08,Twitch
141,3875186,1381,1.1122398286e-05,IGDB
142,3494811,1381,6.8685607243e-05,IGDB
143,872,1384,0.000255191251666,IGDB
144,3572230,1384,0.000767877782557,Steam
145,2474657,1384,7.5265628051e-05,Steam
146,3571975,1384,0.000865220163827,Steam
147,613153,1384,0.000159592911778,Steam
148,934267,1384,0.000193156023496,Steam
149,4579620,1384,3.934419182e-06,Twitch
150,91890,1384,0.00082353163053,IGDB
151,3494812,1384,0.000204495785201,IGDB
152,3875187,1384,5.5611991428e-05,IGDB
153,970,1593,0.000264642779505,IGDB
154,3572679,1593,0.000181656230112,Steam
155,3572946,1593,0.000177467839336,Steam
156,2474987,1593,3.8005416144e-05,Steam
157,615018,1593,0.000151294915384,Steam
158,3385567,1593,0.000176372941653,Steam
159,4579441,1593,6.429416712e-06,Twitch
160,92089,1593,0.000251460039856,IGDB
161,3495007,1593,0.000276303465501,IGDB
162,3875326,1593,4.0782127047e-05,IGDB
163,1097,1875,9.451527839e-06,IGDB
164,92356,1875,4.5577132224e-05,IGDB
165,2474859,1875,1.583559006e-05,Steam
166,3572274,1875,0.000123395282971,Steam
167,3572531,1875,0.000120253359855,Steam
168,614024,1875,0.000100619729859,Steam
169,4589264,1875,1.535383095e-06,Twitch
170,3495271,1875,9.36621917e-06,IGDB
171,1101,1879,0.001115280285058,IGDB
172,3571487,1879,0.011474959560171,Steam
173,3571638,1879,0.010147510260125,Steam
174,2474349,1879,0.004579280043281,Steam
175,611910,1879,0.001852384176149,Steam
176,931004,1879,0.000244162355427,Steam
177,4578347,1879,0.000470594918726,Twitch
178,92355,1879,0.000972836029195,IGDB
179,3495268,1879,0.00026849828286,IGDB
180,3875480,1879,0.000203910635237,IGDB
181,1104,1882,7.5612222716e-05,IGDB
182,3573371,1882,6.5860927344e-05,Steam
183,92354,1882,0.000216098471752,IGDB
184,2475024,1882,1.863010595e-06,Steam
185,3573608,1882,8.1664004121e-05,Steam
186,616027,1882,0.000180416185748,Steam
187,4688055,1882,3.5510044291e-05,Steam
188,3818213,1882,2.015190313e-06,Twitch
189,3875483,1882,2.5952262667e-05,IGDB
190,3495272,1882,0.000256009990634,IGDB
191,1117,1907,0.000217385140308,IGDB
192,3571772,1907,0.000718006799876,Steam
193,2474416,1907,0.000442651317447,Steam
194,3571553,1907,0.00078078521893,Steam
195,612166,1907,0.000325709405628,Steam
196,931073,1907,0.000231075384593,Steam
197,4578593,1907,4.1503324296e-05,Twitch
198,92380,1907,0.000202739657134,IGDB
199,3495292,1907,0.000140493287543,IGDB
200,3875499,1907,3.7074660952e-05,IGDB
201,1119,1910,0.000302448890863,IGDB
202,92381,1910,0.000620006160771,IGDB
203,3572363,1910,0.000904819598866,Steam
204,3572107,1910,0.001012384176093,Steam
205,2474670,1910,4.0054727799e-05,Steam
206,612809,1910,0.000232657030971,Steam
207,933221,1910,0.000206954837931,Steam
208,4578672,1910,0.000143222454364,Twitch
209,3875501,1910,9.2686652381e-05,IGDB
210,3495294,1910,0.000254448954106,IGDB
211,1120,1911,0.00072776764364,IGDB
212,3571663,1911,0.001692539221796,Steam
213,2474363,1911,0.00087449717344,Steam
214,3571500,1911,0.001752354995844,Steam
215,611962,1911,0.001318755162763,Steam
216,931579,1911,0.000246106236032,Steam
217,4578148,1911,0.00865001249418,Twitch
218,92383,1911,0.000480917326225,IGDB
219,3875502,1911,0.000211325567428,IGDB
220,3495295,1911,0.000126443958789,IGDB
221,1160,1983,0.000330803474382,IGDB
222,2474905,1983,2.794515893e-06,Steam
223,3572533,1983,0.000269203953284,Steam
224,3572276,1983,0.000297827356077,Steam
225,614036,1983,9.0338564516e-05,Steam
226,4429535,1983,3.3511406486e-05,Steam
227,4586140,1983,6.23749382e-07,Twitch
228,92449,1983,0.000561856026554,IGDB
229,3495363,1983,0.000221667187012,IGDB
230,3875549,1983,2.5952262667e-05,IGDB
231,1164,1991,0.000264642779505,IGDB
232,3573041,1991,0.000120472213662,Steam
233,2475235,1991,6.893139203e-06,Steam
234,92455,1991,0.000364617057792,IGDB
235,3573313,1991,0.000112038722748,Steam
236,615436,1991,5.9338502515e-05,Steam
237,937298,1991,0.000104367223468,Steam
238,4581653,1991,4.79807217e-07,Twitch
239,3495367,1991,0.000234155479238,IGDB
240,3875554,1991,5.5611991428e-05,IGDB
241,92469,2000,9.7440765444e-05,IGDB
242,1166,2000,3.7806111358e-05,IGDB
243,2474645,2000,7.638343441e-06,Steam
244,3572313,2000,7.9360161988e-05,Steam
245,3572058,2000,8.3708353382e-05,Steam
246,612643,2000,5.2188656566e-05,Steam
247,4703432,2000,4.7980722e-08,Twitch
248,3495373,2000,0.000109272556978,IGDB
249,3875558,2000,3.7074660952e-05,IGDB
250,92468,2002,0.00016580646378,IGDB
251,1168,2002,8.5063750555e-05,IGDB
252,3572370,2002,0.000318806642089,Steam
253,2474868,2002,8.8865605396e-05,Steam
254,3572629,2002,0.000304150358644,Steam
255,613566,2002,0.000212564398193,Steam
256,936302,2002,0.000168953341034,Steam
257,3853572,2002,1.199518043e-06,Twitch
258,3875559,2002,4.0782127047e-05,IGDB
259,3495374,2002,8.5857009054e-05,IGDB
260,1173,2025,0.000151224445432,IGDB
261,3571773,2025,0.001358241736729,Steam
262,92485,2025,0.000296251359456,IGDB
263,3572028,2025,0.001198033906883,Steam
264,2474542,2025,0.000569149736868,Steam
265,612670,2025,0.000196907801223,Steam
266,933934,2025,0.000194086895898,Steam
267,4580560,2025,1.583363817e-06,Twitch
268,3875568,2025,2.5952262667e-05,IGDB
269,3495386,2025,0.000115516703091,IGDB
270,1180,2042,9.451527839e-06,IGDB
271,3571830,2042,0.00022546886324,Steam
272,3572085,2042,0.000225790928083,Steam
273,2474569,2042,3.353419072e-06,Steam
274,612784,2042,0.00022780348591,Steam
275,4581685,2042,4.7980722e-08,Twitch
276,92499,2042,0.000214526846503,IGDB
277,3875575,2042,1.4829864381e-05,IGDB
278,3495398,2042,7.0246643771e-05,IGDB
279,92522,2108,7.3080574083e-05,IGDB
280,3572411,2108,0.000107368511532,Steam
281,2474873,2108,2.794515893e-06,Steam
282,3572672,2108,0.000102888149775,Steam
283,613951,2108,7.4890722172e-05,Steam
284,4314647,2108,7.41493219e-06,IGDB
285,3495421,2108,6.7124570715e-05,IGDB
