id,game_id,value,external_popularity_source
938701,111,0.000134249215619,Steam
85,111,0.000226532634858,IGDB
3493665,111,0.000315063792619,IGDB
90659,111,0.000447390769936,IGDB
2474580,111,1.0990546847e-05,Steam
3571850,111,0.00025880518077,Steam
4579823,111,1.1140213199e-05,Twitch
3874317,111,1.8694454103e-05,IGDB
619900,111,9.0702347499e-05,Steam
3572106,111,0.000235165303082,Steam
936875,232,0.000132174480162,Steam
613319,232,5.8735898543e-05,Steam
3874402,232,2.2433344924e-05,IGDB
167,232,8.4949738072e-05,IGDB
3493779,232,0.00020744299217,IGDB
90777,232,0.000358697512036,IGDB
4583844,232,2.516862982e-06,Twitch
2474883,232,1.3555007779e-05,Steam
3572607,232,0.000176236082798,Steam
3572349,232,0.000195463780119,Steam
931882,527,9.6018756936e-05,Steam
377,527,5.6633158714e-05,IGDB
3494056,527,9.5143026484e-05,IGDB
91067,527,0.000174246931449,IGDB
2474920,527,1.9233456983e-05,Steam
4580934,527,3.34206396e-06,Twitch
4045026,527,1.4955563283e-05,IGDB
618043,527,0.000158067226129,Steam
3572663,527,0.000191087321887,Steam
3572404,527,0.000196490721131,Steam
933822,576,0.000221941367589,Steam
419,576,0.000132144037,IGDB
3494108,576,2.1836104439e-05,IGDB
91119,576,6.5931271359e-05,IGDB
3572870,576,0.000135772833845,Steam
2474816,576,0.000100013976312,Steam
4579001,576,1.4358497012e-05,Twitch
3874675,576,2.9911126565e-05,IGDB
3573141,576,0.000144899554637,Steam
613475,576,0.000200672815305,Steam
937869,787,8.8273077898e-05,Steam
3874781,787,2.6172235745e-05,IGDB
505,787,6.60720185e-05,IGDB
3494264,787,7.7986087282e-05,IGDB
91319,787,0.000172677139274,IGDB
4582994,787,6.18900733e-07,Twitch
2475318,787,1.1173722628e-05,Steam
3573461,787,8.7342384761e-05,Steam
3573242,787,9.1108922835e-05,Steam
614065,787,6.4325124281e-05,Steam
936508,885,0.000227556984892,Steam
3874824,885,0.000164511196109,IGDB
551,885,0.000415309830572,IGDB
3494344,885,0.00017156939202,IGDB
91405,885,0.000540008508274,IGDB
3572649,885,0.000244721392858,Steam
614724,885,9.4281413103e-05,Steam
4579794,885,4.538605377e-06,Twitch
2474738,885,1.3188656217e-05,Steam
3572390,885,0.000269339349111,Steam
3875148,1331,7.4777816413e-05,IGDB
838,1331,0.000386993251215,IGDB
3494766,1331,0.000324422123093,IGDB
91838,1331,0.001297433232814,IGDB
3571939,1331,0.000425562750436,Steam
613039,1331,0.000207929003105,Steam
2458756,1331,1.5020414025e-05,Steam
4580032,1331,2.516862982e-06,Twitch
3572194,1331,0.000394957465162,Steam
4735531,1334,0.000162880564921,Steam
3875151,1334,4.1127799027e-05,IGDB
840,1334,0.000235971494643,IGDB
3494770,1334,0.000338459618804,IGDB
91842,1334,0.000616928324859,IGDB
615318,1334,0.00011149034498,Steam
3572951,1334,0.000310657678858,Steam
4594306,1334,0.0,Twitch
2475180,1334,1.648582027e-06,Steam
3573223,1334,0.000282649278757,Steam
841,1335,1.8877719571e-05,IGDB
3494767,1335,2.8074991422e-05,IGDB
91843,1335,4.7093765256e-05,IGDB
4580072,1335,3.383324009e-06,Twitch
615212,1335,9.4722667767e-05,Steam
2474817,1335,1.7401699175e-05,Steam
3573217,1335,9.0589800551e-05,Steam
3572944,1335,8.9913499314e-05,Steam
935983,1337,0.000132478774696,Steam
4118919,1337,1.1216672462e-05,IGDB
843,1337,0.000188777195715,IGDB
3494772,1337,0.000102941635212,IGDB
91845,1337,0.00029512092894,IGDB
2474655,1337,4.9091109252e-05,Steam
3571947,1337,0.000329993052584,Steam
4581575,1337,9.48981124e-07,Twitch
614217,1337,0.000157380829985,Steam
3572202,1337,0.000305719030842,Steam
932368,1338,0.000219285706204,Steam
844,1338,0.000141582896786,IGDB
3494773,1338,0.000112299965686,IGDB
91847,1338,0.000190729749288,IGDB
3571958,1338,0.000498695507562,Steam
4580850,1338,1.939222298e-06,Twitch
3875154,1338,3.7388908206e-05,IGDB
2474507,1338,0.000143060284798,Steam
612537,1338,0.000386882283307,Steam
3571705,1338,0.000516992592338,Steam
4765741,1365,3.738890821e-06,IGDB
861,1365,4.7194298929e-05,IGDB
91873,1365,3.0610947417e-05,IGDB
614575,1365,8.3102961628e-05,Steam
2474984,1365,5.495273424e-06,Steam
3572659,1365,7.2078422222e-05,Steam
3572925,1365,7.3628775408e-05,Steam
3963168,1381,8.6530300114e-05,Steam
612930,1381,0.000130072069144,Steam
3875186,1381,1.4955563283e-05,IGDB
870,1381,1.8877719571e-05,IGDB
3494811,1381,6.8627756808e-05,IGDB
91884,1381,0.000156979217521,IGDB
4579756,1381,2.88820342e-07,Twitch
3571896,1381,0.000301423232734,Steam
3572151,1381,0.000277326550541,Steam
2474603,1381,6.96067967e-06,Steam
934267,1384,0.000194029259911,Steam
3875187,1384,5.608336231e-05,IGDB
872,1384,0.000254849214215,IGDB
3494812,1384,0.000204323548679,IGDB
91890,1384,0.0008233559959,IGDB
3572230,1384,0.000735370755565,Steam
4579620,1384,2.97072352e-06,Twitch
613153,1384,0.000149928529002,Steam
2474657,1384,7.400301544e-05,Steam
3571975,1384,0.000831172357944,Steam
1097,1875,9.438859786e-06,IGDB
3495271,1875,9.358330474e-06,IGDB
92356,1875,4.6308869169e-05,IGDB
2474859,1875,1.5569941367e-05,Steam
614024,1875,9.4526554583e-05,Steam
4589264,1875,1.65040196e-07,Twitch
3572274,1875,0.000118539480001,Steam
3572531,1875,0.000115162602831,Steam
931004,1879,0.000246257267141,Steam
3571487,1879,0.011023401434338,Steam
1101,1879,0.001113785454717,IGDB
3495268,1879,0.000269831861996,IGDB
92355,1879,0.000972486252545,IGDB
3571638,1879,0.009717929671357,Steam
4578347,1879,0.000694324102635,Twitch
3875480,1879,0.000220594558418,IGDB
611910,1879,0.001740210336292,Steam
2474349,1879,0.004502460691851,Steam
3875483,1882,2.9911126565e-05,IGDB
1104,1882,7.5510878286e-05,IGDB
3495272,1882,0.000257354088031,IGDB
92354,1882,0.000215846424092,IGDB
3573371,1882,6.326919386e-05,Steam
2475024,1882,1.831757808e-06,Steam
3818213,1882,7.4268088e-07,Twitch
3573608,1882,7.8206873251e-05,Steam
616027,1882,0.000169490819084,Steam
931073,1907,0.000228359215935,Steam
3875499,1907,2.9911126565e-05,IGDB
1117,1907,0.000217093775072,IGDB
3495292,1907,0.000140374957108,IGDB
92380,1907,0.000202503190603,IGDB
612166,1907,0.000305985594996,Steam
4578593,1907,1.9722303367e-05,Twitch
3571772,1907,0.000687610990863,Steam
2474416,1907,0.00043522565516,Steam
3571553,1907,0.000750060064015,Steam
933221,1910,0.000207169251137,Steam
3875501,1910,0.000108427833799,IGDB
1119,1910,0.000302043513144,IGDB
3495294,1910,0.000254234644539,IGDB
92381,1910,0.000621637701385,IGDB
